TurbineID,WindSpeed,RotorSpeed,BladeAngle,GearboxTemp,GeneratorTemp,Vibration,PowerOutput,Humidity,AmbientTemperature,TimeSinceLastMaintenance,Failure,FaultType
T23,9.4,17.5,39.0,87.0,91.0,0.82,1571.0,60.0,16.0,280,0.0,None
T59,9.0,19.8,43.0,89.0,91.0,0.59,1071.0,76.0,17.0,142,0.0,None
T1,19.7,11.1,41.0,72.0,89.0,0.89,1809.0,67.0,25.0,119,0.0,None
T97,22.8,19.9,36.0,94.0,92.0,1.11,1512.0,72.0,20.0,63,0.0,None
T15,9.6,11.0,20.0,95.0,77.0,0.6,1808.0,75.0,24.0,130,0.0,None
T81,6.7,14.2,26.0,97.0,84.0,0.66,1686.0,61.0,30.0,141,0.0,None
T98,11.3,12.4,17.0,86.0,81.0,0.59,1372.0,70.0,23.0,289,0.0,None
T81,18.2,19.5,34.0,82.0,80.0,0.5,1649.0,73.0,21.0,185,0.0,None
T52,12.4,16.4,28.0,72.0,89.0,1.44,966.0,69.0,33.0,267,0.0,None
T58,16.0,16.0,32.0,76.0,92.0,1.34,1380.0,66.0,29.0,98,1.0,Generator
T41,19.9,20.0,44.0,77.0,77.0,0.73,1379.0,69.0,28.0,186,0.0,None
T44,13.2,16.1,27.0,72.0,77.0,1.08,1363.0,68.0,16.0,193,0.0,None
T4,25.0,16.5,24.0,75.0,88.0,1.3,1029.0,72.0,25.0,72,0.0,None
T77,11.0,10.4,20.0,97.0,78.0,0.87,1436.0,69.0,33.0,35,0.0,None
T68,24.6,18.6,19.0,86.0,90.0,1.24,1738.0,63.0,31.0,251,0.0,None
T7,9.1,19.7,31.0,93.0,92.0,1.37,1255.0,62.0,16.0,81,1.0,Gearbox
T46,7.2,19.6,37.0,78.0,85.0,1.0,1800.0,63.0,30.0,149,0.0,None
T9,20.0,12.2,32.0,74.0,93.0,1.39,1544.0,61.0,32.0,139,1.0,Generator
T87,19.0,12.3,41.0,81.0,75.0,0.71,1697.0,65.0,20.0,171,0.0,None
T33,21.2,13.7,24.0,94.0,80.0,1.4,1887.0,61.0,25.0,247,1.0,Gearbox
T33,11.9,13.1,33.0,79.0,90.0,1.31,1430.0,72.0,33.0,119,0.0,None
T84,23.6,13.1,35.0,76.0,94.0,1.34,1829.0,69.0,33.0,280,1.0,Generator
T4,7.4,16.1,23.0,71.0,94.0,0.5,1054.0,65.0,23.0,153,0.0,None
T65,5.6,18.1,27.0,89.0,75.0,1.16,1756.0,60.0,25.0,299,0.0,None
T34,11.0,19.4,33.0,83.0,88.0,0.9,1817.0,63.0,17.0,134,0.0,None
T91,20.9,10.7,16.0,78.0,76.0,1.1,1894.0,73.0,26.0,199,0.0,None
T85,18.5,12.8,42.0,86.0,89.0,0.58,989.0,65.0,32.0,94,0.0,None
T88,13.7,12.6,18.0,91.0,90.0,0.74,1029.0,67.0,18.0,156,0.0,None
T79,10.1,13.6,16.0,77.0,92.0,0.85,925.0,62.0,24.0,263,0.0,None
T99,6.2,14.2,21.0,88.0,86.0,1.22,1456.0,71.0,28.0,80,0.0,None
T64,11.8,13.9,30.0,78.0,92.0,1.05,1112.0,76.0,16.0,244,0.0,None
T25,14.2,19.5,25.0,100.0,93.0,0.51,1525.0,67.0,16.0,159,0.0,None
T55,18.7,14.4,28.0,92.0,86.0,0.83,1882.0,62.0,32.0,289,0.0,None
T9,17.9,15.5,18.0,88.0,85.0,1.44,1260.0,79.0,34.0,119,0.0,None
T17,23.9,17.5,22.0,75.0,85.0,0.68,906.0,70.0,30.0,91,0.0,None
T21,7.0,17.3,18.0,88.0,85.0,0.74,1879.0,62.0,34.0,72,0.0,None
T60,11.7,15.8,22.0,94.0,90.0,0.81,1584.0,70.0,18.0,75,0.0,None
T13,14.6,18.6,36.0,92.0,76.0,0.77,1122.0,61.0,32.0,299,0.0,None
T3,18.4,16.2,32.0,93.0,84.0,0.62,1662.0,61.0,33.0,137,0.0,None
T68,14.9,18.7,25.0,80.0,85.0,0.81,1596.0,66.0,21.0,107,0.0,None
T4,23.3,13.0,23.0,80.0,79.0,1.04,1318.0,74.0,28.0,72,0.0,None
T92,17.2,11.3,45.0,86.0,86.0,1.18,1133.0,74.0,21.0,113,0.0,None
T7,5.8,18.2,38.0,78.0,84.0,1.14,1992.0,78.0,17.0,48,0.0,None
T26,7.3,13.8,40.0,73.0,90.0,0.66,1607.0,62.0,31.0,219,0.0,None
T75,20.1,16.5,16.0,84.0,82.0,1.11,902.0,69.0,33.0,107,0.0,None
T24,19.3,17.4,17.0,70.0,94.0,0.86,1038.0,70.0,17.0,37,0.0,None
T10,8.1,13.3,36.0,93.0,83.0,1.32,1172.0,69.0,28.0,132,1.0,Gearbox
T13,6.2,15.1,21.0,92.0,88.0,0.86,1794.0,77.0,34.0,89,0.0,None
T44,16.6,18.9,28.0,87.0,79.0,1.48,1422.0,76.0,20.0,73,0.0,None
T39,17.7,18.8,21.0,92.0,89.0,1.11,966.0,70.0,30.0,154,0.0,None
T19,7.7,17.5,20.0,89.0,85.0,0.93,1192.0,76.0,23.0,206,0.0,None
T51,14.5,17.6,18.0,91.0,82.0,1.0,1979.0,61.0,16.0,247,0.0,None
T19,11.1,19.0,33.0,72.0,82.0,0.68,1745.0,71.0,29.0,235,0.0,None
T76,23.6,17.4,37.0,96.0,83.0,1.18,905.0,62.0,20.0,79,0.0,None
T52,9.4,13.4,17.0,89.0,84.0,1.46,1823.0,77.0,27.0,208,0.0,None
T86,19.7,11.2,23.0,88.0,80.0,1.01,1111.0,70.0,16.0,98,0.0,None
T47,15.4,14.2,35.0,82.0,81.0,1.49,1264.0,60.0,17.0,119,0.0,None
T30,5.2,10.9,27.0,71.0,94.0,0.65,1030.0,71.0,15.0,208,0.0,None
T46,15.3,11.2,36.0,97.0,81.0,1.14,912.0,75.0,19.0,130,0.0,None
T76,7.0,19.5,38.0,100.0,88.0,1.18,1454.0,63.0,18.0,158,0.0,None
T93,18.2,16.8,16.0,94.0,82.0,0.81,1215.0,66.0,21.0,285,0.0,None
T21,16.3,18.5,26.0,97.0,91.0,0.85,1296.0,69.0,19.0,124,0.0,None
T75,5.2,16.4,37.0,74.0,89.0,1.45,1086.0,68.0,20.0,238,0.0,None
T48,9.1,14.2,26.0,74.0,82.0,1.11,1787.0,70.0,18.0,113,0.0,None
T62,20.5,10.3,15.0,96.0,89.0,1.28,1091.0,60.0,19.0,82,0.0,None
T58,10.5,19.6,25.0,72.0,90.0,1.23,1469.0,75.0,21.0,289,0.0,None
T18,15.0,10.7,41.0,73.0,78.0,1.11,1416.0,66.0,24.0,127,0.0,None
T59,11.2,16.1,44.0,95.0,87.0,0.55,1912.0,74.0,20.0,220,0.0,None
T91,23.4,11.0,32.0,87.0,91.0,1.16,1987.0,77.0,19.0,120,0.0,None
T48,15.7,12.8,24.0,82.0,76.0,0.84,1896.0,74.0,28.0,162,0.0,None
T63,18.9,11.9,29.0,87.0,85.0,0.97,1707.0,73.0,22.0,225,0.0,None
T12,6.7,15.5,22.0,96.0,92.0,1.35,1374.0,72.0,27.0,224,1.0,Gearbox
T87,5.8,18.9,20.0,93.0,94.0,1.47,1044.0,60.0,23.0,55,1.0,Gearbox
T34,10.2,16.4,30.0,91.0,88.0,1.19,1857.0,78.0,23.0,277,0.0,None
T61,11.2,16.6,37.0,99.0,82.0,0.73,1688.0,77.0,23.0,284,0.0,None
T87,18.8,19.1,22.0,86.0,87.0,0.82,1045.0,64.0,32.0,190,0.0,None
T53,16.4,17.5,42.0,70.0,76.0,0.64,997.0,64.0,23.0,294,0.0,None
T25,12.5,18.7,20.0,83.0,84.0,1.08,1642.0,61.0,27.0,192,0.0,None
T62,18.1,14.2,32.0,73.0,90.0,1.43,1897.0,68.0,24.0,259,0.0,None
T4,8.3,18.7,38.0,73.0,76.0,1.31,1135.0,80.0,27.0,37,0.0,None
T94,6.3,16.5,21.0,78.0,87.0,1.04,1353.0,62.0,19.0,225,0.0,None
T94,22.1,11.4,24.0,81.0,87.0,1.44,1961.0,71.0,17.0,137,0.0,None
T13,16.3,10.4,17.0,84.0,79.0,1.4,1941.0,65.0,27.0,264,0.0,None
T42,18.0,12.4,43.0,75.0,86.0,0.86,1669.0,77.0,35.0,299,0.0,None
T49,11.1,13.8,30.0,79.0,83.0,1.05,1421.0,70.0,20.0,49,0.0,None
T78,12.4,18.4,17.0,78.0,85.0,0.8,1310.0,77.0,15.0,34,0.0,None
T56,6.6,17.4,40.0,81.0,82.0,0.51,1330.0,79.0,33.0,170,0.0,None
T47,22.1,19.6,32.0,73.0,91.0,0.95,1455.0,73.0,18.0,52,0.0,None
T8,16.8,15.6,17.0,82.0,82.0,1.25,1656.0,66.0,32.0,71,0.0,None
T55,6.7,17.5,29.0,87.0,91.0,1.13,1462.0,69.0,25.0,66,0.0,None
T88,21.1,12.8,28.0,73.0,77.0,1.43,1153.0,73.0,19.0,92,0.0,None
T18,13.9,16.8,19.0,86.0,81.0,1.19,1728.0,73.0,19.0,142,0.0,None
T35,20.3,17.1,28.0,93.0,83.0,0.64,1398.0,61.0,26.0,60,0.0,None
T89,5.3,18.5,23.0,70.0,83.0,0.77,1530.0,67.0,31.0,120,0.0,None
T81,5.6,15.4,36.0,71.0,84.0,0.63,1754.0,71.0,31.0,231,0.0,None
T32,8.4,16.5,15.0,84.0,88.0,1.29,1322.0,67.0,20.0,203,0.0,None
T24,9.2,12.0,18.0,96.0,86.0,1.45,1923.0,72.0,29.0,95,1.0,Gearbox
T7,20.3,17.4,43.0,100.0,85.0,0.73,1461.0,64.0,25.0,185,1.0,Blades
T13,19.1,18.4,28.0,73.0,92.0,1.27,1674.0,61.0,27.0,236,0.0,None
T91,17.3,15.9,20.0,71.0,79.0,0.94,1731.0,67.0,18.0,213,0.0,None
T69,22.7,11.2,39.0,77.0,92.0,0.86,1301.0,71.0,24.0,30,0.0,None
T100,9.9,13.1,41.0,84.0,91.0,1.49,1184.0,60.0,17.0,72,1.0,Generator
T90,23.1,14.8,21.0,87.0,79.0,0.85,1916.0,72.0,25.0,84,0.0,None
T42,23.2,16.8,36.0,99.0,87.0,1.16,1245.0,67.0,16.0,119,0.0,None
T31,13.7,13.2,33.0,97.0,79.0,1.21,1020.0,80.0,18.0,112,0.0,None
T74,6.9,18.4,37.0,87.0,94.0,1.27,1445.0,76.0,22.0,70,0.0,None
T26,19.5,13.7,39.0,81.0,85.0,1.36,1807.0,66.0,25.0,106,0.0,None
T86,11.7,10.4,35.0,80.0,79.0,1.07,1210.0,79.0,17.0,117,0.0,None
T76,20.9,17.9,44.0,87.0,88.0,1.1,1443.0,66.0,33.0,128,1.0,Blades
T32,8.3,16.4,41.0,92.0,89.0,1.21,1298.0,62.0,21.0,110,0.0,None
T91,15.8,18.0,22.0,84.0,87.0,0.65,927.0,61.0,27.0,202,0.0,None
T97,15.2,13.5,42.0,79.0,80.0,0.7,1051.0,76.0,18.0,261,0.0,None
T52,7.0,10.2,26.0,88.0,90.0,1.26,1777.0,66.0,30.0,214,0.0,None
T20,12.3,10.7,37.0,87.0,94.0,0.63,1928.0,80.0,26.0,235,0.0,None
T40,6.7,11.1,40.0,83.0,94.0,1.19,905.0,72.0,34.0,249,0.0,None
T59,14.3,18.1,28.0,92.0,89.0,0.53,1847.0,63.0,29.0,37,0.0,None
T77,21.9,13.0,17.0,78.0,92.0,0.84,1696.0,67.0,35.0,30,0.0,None
T14,10.4,20.0,43.0,85.0,95.0,1.16,1653.0,70.0,31.0,151,0.0,None
T44,20.3,17.6,17.0,98.0,76.0,1.21,1373.0,74.0,26.0,216,0.0,None
T86,8.7,16.0,25.0,92.0,85.0,1.13,1265.0,72.0,20.0,269,0.0,None
T82,18.5,19.8,33.0,82.0,81.0,0.94,1352.0,65.0,22.0,230,0.0,None
T48,23.3,13.2,19.0,86.0,84.0,0.75,1562.0,70.0,23.0,174,0.0,None
T93,11.5,11.7,40.0,82.0,93.0,1.11,1941.0,64.0,33.0,112,0.0,None
T43,23.0,17.4,21.0,73.0,95.0,0.68,1128.0,67.0,20.0,71,0.0,None
T16,15.1,12.8,45.0,80.0,93.0,0.56,1971.0,66.0,29.0,211,0.0,None
T35,11.3,19.6,42.0,96.0,79.0,0.52,1156.0,78.0,27.0,69,0.0,None
T53,22.9,19.9,33.0,84.0,91.0,0.77,1830.0,76.0,18.0,144,0.0,None
T34,5.6,19.3,35.0,88.0,91.0,0.53,1626.0,71.0,20.0,112,0.0,None
T3,5.6,19.4,31.0,75.0,87.0,0.75,1720.0,63.0,21.0,282,0.0,None
T68,17.0,16.2,27.0,81.0,89.0,0.79,1815.0,72.0,19.0,139,0.0,None
T5,20.9,16.9,26.0,98.0,93.0,0.84,913.0,67.0,31.0,244,0.0,None
T10,20.0,10.9,42.0,79.0,95.0,1.21,1697.0,61.0,21.0,165,0.0,None
T52,6.6,17.6,32.0,78.0,76.0,0.94,1995.0,74.0,26.0,98,0.0,None
T29,24.0,12.0,40.0,72.0,80.0,1.49,1444.0,65.0,30.0,122,0.0,None
T96,19.1,18.4,30.0,73.0,94.0,1.45,1496.0,65.0,34.0,275,1.0,Generator
T31,24.0,19.6,24.0,88.0,82.0,1.48,1017.0,73.0,33.0,214,0.0,None
T66,11.6,12.1,18.0,90.0,77.0,0.91,1275.0,77.0,19.0,122,0.0,None
T76,18.9,10.8,25.0,89.0,81.0,0.54,1574.0,66.0,33.0,262,0.0,None
T91,22.2,14.8,41.0,86.0,85.0,1.36,1032.0,76.0,32.0,64,1.0,Blades
T69,12.6,17.9,36.0,85.0,83.0,0.93,1267.0,78.0,16.0,210,0.0,None
T37,24.3,17.7,39.0,72.0,91.0,1.14,1283.0,64.0,33.0,169,0.0,None
T27,10.3,17.0,38.0,95.0,87.0,1.34,1794.0,78.0,26.0,244,1.0,Gearbox
T87,11.3,18.2,19.0,85.0,84.0,1.11,1491.0,66.0,19.0,48,0.0,None
T33,23.4,11.7,20.0,74.0,95.0,1.24,1510.0,64.0,35.0,211,0.0,None
T68,24.4,16.5,25.0,74.0,93.0,0.75,1211.0,67.0,21.0,277,0.0,None
T59,10.7,16.1,24.0,85.0,92.0,0.7,1245.0,65.0,19.0,261,0.0,None
T64,7.7,11.5,17.0,77.0,86.0,1.06,1396.0,71.0,18.0,72,0.0,None
T85,20.2,14.1,20.0,98.0,91.0,1.14,1799.0,69.0,26.0,290,0.0,None
T88,23.6,18.5,41.0,85.0,82.0,1.37,1249.0,73.0,18.0,147,1.0,Blades
T44,17.0,19.7,33.0,99.0,82.0,1.32,1254.0,74.0,25.0,168,1.0,Gearbox
T95,17.7,16.7,25.0,92.0,93.0,1.49,1526.0,62.0,30.0,179,1.0,Gearbox
T88,20.3,19.2,31.0,94.0,87.0,1.47,1824.0,63.0,34.0,135,1.0,Gearbox
T49,8.1,11.3,23.0,82.0,82.0,1.12,1454.0,76.0,22.0,141,0.0,None
T53,24.5,19.8,33.0,74.0,92.0,1.0,1041.0,61.0,35.0,208,0.0,None
T74,12.3,10.3,17.0,91.0,84.0,1.26,1907.0,73.0,35.0,280,0.0,None
T49,17.6,15.3,42.0,82.0,83.0,0.76,1418.0,73.0,27.0,62,0.0,None
T66,14.4,12.9,22.0,98.0,76.0,0.85,1751.0,75.0,21.0,115,0.0,None
T95,14.4,18.1,40.0,76.0,89.0,1.27,948.0,64.0,32.0,90,0.0,None
T63,19.1,12.2,35.0,89.0,86.0,1.45,1820.0,63.0,16.0,292,0.0,None
T25,24.9,10.1,31.0,96.0,81.0,1.4,964.0,69.0,24.0,271,1.0,Gearbox
T4,18.2,14.1,43.0,82.0,78.0,0.57,1964.0,61.0,28.0,290,0.0,None
T51,20.9,10.6,20.0,99.0,79.0,0.73,1879.0,77.0,35.0,152,0.0,None
T11,5.6,12.9,19.0,72.0,79.0,0.77,1193.0,75.0,29.0,134,0.0,None
T17,21.2,16.4,25.0,88.0,92.0,0.88,1146.0,78.0,20.0,260,0.0,None
T66,11.0,12.9,40.0,93.0,85.0,0.57,1762.0,61.0,32.0,194,0.0,None
T70,7.5,12.5,16.0,76.0,89.0,0.73,1067.0,78.0,28.0,256,0.0,None
T73,7.3,11.6,22.0,72.0,84.0,1.22,1855.0,75.0,32.0,163,0.0,None
T69,18.6,11.4,28.0,72.0,84.0,0.74,935.0,62.0,29.0,99,0.0,None
T84,25.0,15.3,36.0,80.0,91.0,1.44,1617.0,62.0,22.0,106,1.0,Generator
T29,18.3,16.8,24.0,77.0,90.0,0.92,1186.0,78.0,17.0,125,0.0,None
T85,10.2,14.5,28.0,77.0,80.0,0.6,1827.0,69.0,29.0,243,0.0,None
T73,9.1,11.2,25.0,84.0,88.0,1.34,1315.0,80.0,19.0,128,0.0,None
T92,15.5,16.5,18.0,73.0,89.0,1.42,1376.0,73.0,16.0,269,0.0,None
T72,6.3,15.6,37.0,100.0,83.0,1.43,1060.0,74.0,21.0,211,1.0,Gearbox
T95,13.0,13.8,29.0,91.0,76.0,0.99,1589.0,69.0,21.0,126,0.0,None
T20,18.3,13.3,39.0,71.0,82.0,1.42,1418.0,69.0,35.0,30,0.0,None
T27,24.4,11.8,36.0,91.0,82.0,1.21,910.0,76.0,26.0,292,0.0,None
T8,13.5,11.5,17.0,94.0,89.0,0.7,1704.0,69.0,35.0,76,0.0,None
T85,9.0,13.4,30.0,76.0,91.0,1.03,1041.0,70.0,30.0,72,0.0,None
T61,21.3,10.4,45.0,95.0,83.0,0.93,1479.0,68.0,25.0,159,1.0,Blades
T28,19.9,14.4,24.0,88.0,88.0,0.95,1493.0,64.0,21.0,271,0.0,None
T87,22.2,16.0,30.0,95.0,88.0,0.91,1229.0,77.0,19.0,197,0.0,None
T70,9.3,19.4,35.0,92.0,88.0,0.68,1151.0,64.0,20.0,137,0.0,None
T3,13.1,16.3,21.0,91.0,86.0,0.89,1242.0,66.0,32.0,159,0.0,None
T69,24.6,16.2,36.0,75.0,88.0,1.01,1338.0,72.0,23.0,72,0.0,None
T73,8.2,13.7,35.0,79.0,92.0,0.79,1928.0,67.0,24.0,288,0.0,None
T7,18.4,11.3,26.0,86.0,93.0,0.68,1636.0,67.0,27.0,107,0.0,None
T60,9.7,14.5,24.0,73.0,77.0,0.7,1962.0,60.0,16.0,243,0.0,None
T4,15.0,16.0,43.0,84.0,75.0,0.69,993.0,76.0,24.0,228,0.0,None
T5,21.0,17.2,19.0,83.0,85.0,0.95,950.0,70.0,15.0,126,0.0,None
T11,14.8,18.3,28.0,77.0,83.0,0.71,964.0,64.0,30.0,44,0.0,None
T15,21.1,12.6,38.0,76.0,84.0,1.22,1845.0,74.0,15.0,124,0.0,None
T64,13.5,12.4,19.0,77.0,84.0,0.84,1818.0,73.0,29.0,281,0.0,None
T98,25.0,15.7,43.0,88.0,93.0,1.44,1382.0,68.0,19.0,57,1.0,Generator
T13,13.7,15.7,31.0,82.0,88.0,0.56,1379.0,72.0,31.0,209,0.0,None
T7,8.0,12.2,30.0,82.0,84.0,0.81,1370.0,73.0,21.0,227,0.0,None
T6,13.0,15.9,28.0,75.0,84.0,1.24,1939.0,61.0,33.0,73,0.0,None
T56,19.9,13.5,41.0,94.0,92.0,1.18,1188.0,68.0,30.0,65,0.0,None
T64,22.0,16.4,43.0,91.0,79.0,0.92,1690.0,70.0,19.0,294,1.0,Blades
T50,14.2,12.9,26.0,83.0,75.0,1.37,1021.0,74.0,33.0,196,0.0,None
T30,16.9,15.9,31.0,74.0,85.0,0.57,1188.0,68.0,15.0,215,0.0,None
T22,21.9,17.7,24.0,91.0,94.0,1.01,1558.0,63.0,27.0,196,0.0,None
T25,21.3,19.8,26.0,97.0,91.0,0.7,1557.0,62.0,32.0,262,0.0,None
T28,18.2,19.1,16.0,75.0,83.0,0.87,1509.0,76.0,18.0,273,0.0,None
T84,21.3,15.0,39.0,88.0,79.0,1.2,1036.0,70.0,16.0,214,0.0,None
T39,16.5,14.9,44.0,83.0,86.0,0.6,1730.0,65.0,33.0,238,0.0,None
T67,5.1,14.4,38.0,73.0,93.0,0.54,1682.0,76.0,21.0,272,0.0,None
T5,5.8,10.3,31.0,92.0,89.0,0.92,1649.0,76.0,28.0,173,0.0,None
T65,24.6,11.7,40.0,72.0,86.0,0.77,1042.0,73.0,32.0,242,0.0,None
T15,7.9,10.6,41.0,91.0,90.0,1.22,1143.0,62.0,17.0,125,0.0,None
T90,13.1,17.0,31.0,78.0,94.0,0.57,1902.0,66.0,23.0,50,0.0,None
T67,23.7,14.1,43.0,87.0,86.0,1.47,1431.0,78.0,30.0,106,1.0,Blades
T40,8.9,10.6,16.0,75.0,86.0,1.12,1360.0,62.0,17.0,280,0.0,None
T98,21.9,16.9,15.0,81.0,85.0,1.0,1860.0,74.0,30.0,174,0.0,None
T69,21.4,16.4,17.0,73.0,86.0,0.91,1224.0,65.0,33.0,145,0.0,None
T95,24.7,17.2,17.0,84.0,88.0,1.25,1809.0,61.0,31.0,66,0.0,None
T77,10.6,16.0,28.0,76.0,79.0,0.86,1386.0,74.0,20.0,78,0.0,None
T43,11.3,11.6,43.0,76.0,86.0,1.28,1584.0,65.0,32.0,154,0.0,None
T1,23.1,10.6,35.0,73.0,75.0,1.21,1301.0,75.0,29.0,264,0.0,None
T22,9.7,18.2,35.0,93.0,94.0,1.05,1908.0,67.0,30.0,47,0.0,None
T62,16.0,12.2,27.0,89.0,76.0,1.39,1017.0,64.0,30.0,289,0.0,None
T79,19.1,15.4,31.0,75.0,94.0,0.85,1139.0,78.0,24.0,197,0.0,None
T26,10.4,14.9,24.0,84.0,94.0,0.56,1123.0,67.0,33.0,207,0.0,None
T18,23.8,19.2,31.0,90.0,86.0,0.88,1186.0,78.0,17.0,216,0.0,None
T48,18.3,15.5,37.0,96.0,82.0,1.38,1400.0,79.0,34.0,287,1.0,Gearbox
T9,5.9,15.8,32.0,72.0,79.0,0.58,1029.0,68.0,15.0,98,0.0,None
T1,7.7,13.2,28.0,81.0,78.0,1.26,943.0,74.0,30.0,208,0.0,None
T9,8.8,19.6,40.0,88.0,80.0,1.33,1523.0,68.0,19.0,258,0.0,None
T23,9.9,16.1,24.0,70.0,85.0,0.93,1452.0,73.0,16.0,257,0.0,None
T45,19.6,10.0,29.0,77.0,90.0,0.69,1275.0,75.0,25.0,150,0.0,None
T2,6.8,15.6,44.0,92.0,83.0,0.86,1088.0,73.0,25.0,134,0.0,None
T14,12.0,13.6,44.0,81.0,91.0,0.9,1029.0,66.0,28.0,252,0.0,None
T38,23.2,10.3,15.0,73.0,86.0,1.43,1878.0,66.0,27.0,126,0.0,None
T40,16.1,14.3,31.0,89.0,75.0,0.78,1378.0,77.0,16.0,250,0.0,None
T63,10.3,17.7,25.0,78.0,78.0,1.47,1948.0,71.0,19.0,104,0.0,None
T82,24.1,15.0,24.0,91.0,86.0,0.61,1258.0,78.0,29.0,186,0.0,None
T16,9.9,16.4,33.0,97.0,78.0,1.47,1574.0,68.0,34.0,212,1.0,Gearbox
T93,23.1,16.4,28.0,86.0,87.0,0.72,1524.0,65.0,30.0,248,0.0,None
T75,19.5,16.7,37.0,88.0,84.0,0.67,1079.0,72.0,35.0,184,0.0,None
T6,19.8,13.9,16.0,85.0,89.0,0.62,1443.0,78.0,17.0,268,0.0,None
T3,20.3,13.7,43.0,95.0,81.0,0.82,1433.0,70.0,34.0,298,1.0,Blades
T14,15.1,10.0,32.0,77.0,91.0,1.12,1457.0,66.0,22.0,225,0.0,None
T66,21.3,11.5,36.0,82.0,83.0,1.17,1232.0,64.0,26.0,197,0.0,None
T96,21.7,19.5,33.0,97.0,91.0,0.87,1167.0,69.0,35.0,212,0.0,None
T95,12.2,18.4,45.0,92.0,75.0,0.73,1352.0,77.0,24.0,263,0.0,None
T75,13.0,12.8,45.0,80.0,83.0,1.5,1915.0,66.0,21.0,32,0.0,None
T86,22.8,14.0,33.0,95.0,79.0,0.77,1526.0,71.0,31.0,34,0.0,None
T67,15.5,19.4,36.0,77.0,84.0,0.88,1415.0,63.0,29.0,273,0.0,None
T31,22.3,12.5,34.0,89.0,94.0,0.98,1115.0,75.0,15.0,162,0.0,None
T33,17.5,15.3,24.0,99.0,78.0,1.24,1919.0,69.0,25.0,38,0.0,None
T88,16.9,10.2,21.0,87.0,77.0,0.65,1626.0,65.0,33.0,87,0.0,None
T1,5.6,16.2,27.0,94.0,76.0,0.77,1987.0,75.0,26.0,95,0.0,None
T44,10.6,19.3,35.0,92.0,77.0,1.5,1086.0,75.0,27.0,185,1.0,Gearbox
T15,15.0,18.8,17.0,96.0,76.0,1.33,1329.0,61.0,25.0,276,1.0,Gearbox
T37,16.7,15.0,30.0,99.0,89.0,0.94,1266.0,69.0,27.0,74,0.0,None
T27,17.6,16.5,27.0,71.0,77.0,0.61,1265.0,72.0,21.0,131,0.0,None
T48,19.3,15.7,31.0,71.0,79.0,1.37,936.0,65.0,19.0,289,0.0,None
T27,18.1,10.7,41.0,88.0,88.0,1.28,1492.0,61.0,23.0,154,0.0,None
T12,22.0,11.6,16.0,99.0,84.0,1.08,1570.0,66.0,20.0,157,0.0,None
T67,10.9,19.6,38.0,85.0,76.0,0.9,952.0,77.0,33.0,245,0.0,None
T30,17.8,12.6,35.0,95.0,94.0,1.44,1868.0,67.0,18.0,283,1.0,Gearbox
T96,6.0,13.8,21.0,93.0,87.0,0.8,1122.0,76.0,20.0,91,0.0,None
T87,14.6,15.1,37.0,85.0,87.0,0.82,1062.0,74.0,31.0,219,0.0,None
T66,10.4,19.8,30.0,85.0,92.0,1.38,1098.0,79.0,17.0,266,1.0,Generator
T7,12.6,16.9,29.0,83.0,93.0,1.13,1364.0,77.0,31.0,88,0.0,None
T34,12.1,16.3,29.0,78.0,76.0,1.45,991.0,79.0,27.0,62,0.0,None
T32,6.2,15.2,43.0,96.0,76.0,1.15,1806.0,60.0,24.0,210,0.0,None
T39,14.3,17.0,43.0,76.0,91.0,0.53,1648.0,66.0,32.0,53,0.0,None
T96,24.9,16.6,42.0,97.0,89.0,0.68,1419.0,77.0,23.0,126,1.0,Blades
T43,11.0,19.0,42.0,81.0,79.0,0.78,1451.0,67.0,20.0,75,0.0,None
T43,19.7,15.4,16.0,71.0,81.0,1.37,1347.0,61.0,26.0,262,0.0,None
T78,16.0,14.2,27.0,75.0,87.0,1.33,1687.0,79.0,26.0,244,0.0,None
T3,11.5,18.1,42.0,97.0,91.0,1.29,1949.0,69.0,17.0,73,0.0,None
T46,6.8,18.0,38.0,74.0,87.0,1.05,1509.0,61.0,31.0,220,0.0,None
T32,9.3,11.7,29.0,92.0,91.0,0.64,1520.0,66.0,22.0,259,0.0,None
T43,20.6,12.4,38.0,75.0,80.0,0.63,1475.0,77.0,18.0,46,0.0,None
T100,10.6,19.6,21.0,85.0,82.0,0.63,1901.0,76.0,17.0,90,0.0,None
T81,7.9,14.4,33.0,76.0,77.0,1.35,1599.0,80.0,26.0,175,0.0,None
T3,11.6,15.2,31.0,80.0,95.0,0.64,1862.0,69.0,22.0,81,0.0,None
T74,16.7,13.1,32.0,74.0,91.0,1.31,1543.0,66.0,21.0,38,1.0,Generator
T63,19.1,14.8,37.0,87.0,89.0,1.34,1668.0,63.0,24.0,112,0.0,None
T40,12.7,17.4,43.0,81.0,79.0,0.61,1621.0,66.0,31.0,76,0.0,None
T18,15.0,14.8,23.0,81.0,89.0,1.4,1385.0,64.0,18.0,264,0.0,None
T67,14.1,13.1,38.0,71.0,92.0,1.4,1051.0,73.0,17.0,90,1.0,Generator
T62,5.2,11.0,34.0,74.0,91.0,1.14,1364.0,75.0,32.0,134,0.0,None
T10,12.9,19.3,36.0,91.0,90.0,1.01,1859.0,76.0,31.0,97,0.0,None
T52,16.7,18.7,28.0,79.0,83.0,1.15,1621.0,75.0,18.0,166,0.0,None
